ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3
262,3,-0.011,15,16,1,0,0,0,0,0,0,1,0,0,0
263,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
264,3,3.73,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
265,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
266,3,0.32,15,16,1,0,0,0,0,0,0,1,0,0,0
267,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
268,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
269,3,4.01,15,16,1,0,0,0,0,0,0,1,0,0,0
270,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
271,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
272,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
273,3,2.16,15,16,1,0,0,0,0,0,0,1,0,0,0
274,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
275,3,2.78,15,16,1,0,0,0,0,0,0,1,0,0,0
276,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
277,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
278,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
279,3,3.26,15,16,1,0,0,0,0,0,0,1,0,0,0
280,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
281,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
282,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
283,3,3.8,15,16,1,0,0,0,0,0,0,1,0,0,0
284,3,0.15,15,16,1,0,0,0,0,0,0,1,0,0,0
285,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
286,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
287,3,5.02,15,16,1,0,0,0,0,0,0,1,0,0,0
288,3,0.75,4.17,16,1,-1,0,0,0,-1,-1,1,0,0,0
289,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
290,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
291,3,2.73,15,16,1,0,0,0,0,0,0,1,0,0,0
292,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
293,3,0.84,5.16,16,-1,1,0,0,-1,-1,-1,1,1,0,0
294,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
295,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
296,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
297,3,0.039,1.58,16,1,-1,0,0,0,-1,-1,1,0,0,0
298,3,0.085,15,16,1,0,0,0,0,0,0,1,0,0,0
299,3,0.42,15,16,1,0,0,0,0,0,0,1,0,0,0
300,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
301,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
302,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
303,3,0.33,15,16,1,0,0,0,0,0,0,1,0,0,0
304,3,0.21,1.54,16,1,1,0,0,0,0,0,2,1,0,0
305,3,1.35,15,16,1,0,0,0,0,0,0,1,0,0,0
306,3,-0.24,15,16,1,0,0,0,0,0,0,2,1,1,1
307,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
308,3,3.64,15,16,1,0,0,0,0,0,0,1,0,0,0
309,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
310,3,0.0069,2.46,16,1,1,0,0,0,0,0,2,1,0,0
311,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
312,3,2.18,3.71,16,1,1,0,0,0,0,0,2,1,0,0
313,3,0.49,15,16,1,0,0,0,0,0,0,1,0,0,0
314,3,14,15,16,0,0,0,-1,-1,-1,-1,1,1,1,1
315,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
316,3,4.39,15,16,1,0,0,0,0,0,0,1,0,0,0
317,3,2.13,15,16,1,0,0,0,0,0,0,1,0,0,0
318,3,0.24,15,16,1,0,0,0,0,0,0,1,0,0,0
319,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
320,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
321,3,0.37,15,16,1,0,0,0,0,0,0,1,0,0,0
322,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
323,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
324,3,0.49,15,16,1,0,0,0,0,0,0,1,0,0,0
325,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
326,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
327,3,0.49,15,16,1,0,0,0,0,0,0,1,0,0,0
328,3,2.88,15,16,1,0,0,0,0,0,0,1,0,0,0
329,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
330,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
